movie_id,name,star_id,star_url
6586,法蘭克卡爾丰(Franck Khalfoun),,
6979,查理賓(Charlie Bean),,
6979,保羅費雪(Paul Fisher),,
6979,鮑伯羅根(Bob Logan),,
6952,阿布阿薩德,,
6946,傑森提森(Jayson Thiessen),,
6913,丹尼維勒納夫(Denis Villeneuve),1285.0,https://tw.movies.yahoo.com/name_main/1285
7036,黃信堯,40754.0,https://tw.movies.yahoo.com/name_main/40754
7001,馬丁坎貝爾(Martin Campbell),,
6998,大衛高登格林(David Gordon Green),1539.0,https://tw.movies.yahoo.com/name_main/1539
6965,克里斯多福藍登,,
7019,托瑪斯艾佛瑞德森(Tomas Alfredson),,
7017,馬克侯特蒙(Marc Rothemund),,
6851,塔伊加維迪提(Taika Waititi),,
7038,戴倫艾洛諾夫斯基(Darren Aronofsky),935.0,https://tw.movies.yahoo.com/name_main/935
6982,涅爾斯阿登歐普勒夫(Niels Arden Oplev),,
6939,史蒂芬佛瑞爾斯(Stephen Frears),615.0,https://tw.movies.yahoo.com/name_main/615
7018,竹永典弘,,
6966,西恩安德斯(Sean Anders),,
6926,肯尼斯布萊納(Kenneth Branagh),,
6728,史蒂芬切波斯基,,
6962,李安克里奇(Lee Unkrich),,
6975,保羅金(Paul King),,
6981,麥可格雷西(Michael Gracey),,
6978,崔希西耶(Trish Sie),,
7015,喬萊特(Joe Wright),1152.0,https://tw.movies.yahoo.com/name_main/1152
6953,萊恩庫格勒(Ryan Coogler),,
7028,鄭保瑞,,
6960,卡羅斯桑塔哈(Carlos Saldanha),,
7014,哈里克萊文(Harry Cleven),40626.0,https://tw.movies.yahoo.com/name_main/40626
7012,永井聰(Akira Nagai),40592.0,https://tw.movies.yahoo.com/name_main/40592
7009,安娜莉莉阿米波爾(Ana Lily Amirpour),,
7004,賽伊達多朗(Ceyda Torun),,
6993,尚皮耶居(Jean-Pierre Jeunet),1503.0,https://tw.movies.yahoo.com/name_main/1503
6988,馬可斯卡尼費利(Marcos Carnevale),1460.0,https://tw.movies.yahoo.com/name_main/1460
6986,李愛,,
6921,橋本昌和,,
6882,瀬田夏樹(Natsuki Seta),,
6680,布萊恩費,,
6829,艾德格萊特,,
6254,盧貝松(Luc Besson),859.0,https://tw.movies.yahoo.com/name_main/859
6999,鄭胤澈,,
7049,連恩蓋文(Liam Gavin),,
7050,蓋伯克林爾(Gabe Klinger),,
7048,安娜艾蒙(Anne Émond),,
7051,丹尼斯巴托克(Dennis Bartok),,
7052,大衛林區(David Lynch),,
7054,尼可拉斯班納莫(Nicolas Benamou),40864.0,https://tw.movies.yahoo.com/name_main/40864
7060,吉翁卡列(Guillaume Canet),3612.0,https://tw.movies.yahoo.com/name_main/3612
7062,李啟源,11714.0,https://tw.movies.yahoo.com/name_main/11714
7064,查克史奈德(Zack Snyder),9698.0,https://tw.movies.yahoo.com/name_main/9698
6877,雨果傑林(Hugo Gélin),,
7070,降旗康男,,
7073,"森田芳光(Morita, Yoshimitsu)",40872.0,https://tw.movies.yahoo.com/name_main/40872
7077,麥可奎斯塔(Michael Cuesta),7625.0,https://tw.movies.yahoo.com/name_main/7625
6534,艾斯班山柏格(Espen Sandberg),,
6534,喬奇姆羅寧(Joachim Rønning),,
