genre_id,genre_url,movie_id,name
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7222,劇情
9.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=09,7222,喜劇
12.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=12,7215,動畫
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7221,劇情
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7293,劇情
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7241,劇情
8.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=08,7241,懸疑/驚悚
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,6933,劇情
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7299,劇情
8.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=08,7299,懸疑/驚悚
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7149,劇情
4.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=04,7165,奇幻
7.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=07,7165,恐怖
8.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=08,7165,懸疑/驚悚
8.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=08,7166,懸疑/驚悚
7.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=07,7172,恐怖
8.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=08,7172,懸疑/驚悚
4.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=04,7181,奇幻
7.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=07,7181,恐怖
8.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=08,7181,懸疑/驚悚
16.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=16,7194,紀錄片
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7202,劇情
1.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=01,7204,動作
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,6928,劇情
6.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=06,7310,犯罪
8.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=08,7310,懸疑/驚悚
1.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=01,7311,動作
2.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=02,7311,冒險
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7316,劇情
10.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=10,7320,愛情
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7320,劇情
7.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=07,7323,恐怖
8.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=08,7323,懸疑/驚悚
7.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=07,7334,恐怖
8.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=08,7334,懸疑/驚悚
11.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=11,7312,溫馨/家庭
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7312,劇情
10.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=10,7344,愛情
1.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=01,7315,動作
3.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=03,7315,科幻
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7321,劇情
8.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=08,7321,懸疑/驚悚
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7338,劇情
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7331,劇情
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7333,劇情
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7340,劇情
8.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=08,7340,懸疑/驚悚
9.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=09,7340,喜劇
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7317,劇情
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7347,劇情
8.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=08,7303,懸疑/驚悚
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7325,劇情
12.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=12,7348,動畫
14.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=14,7305,音樂/歌舞
9.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=09,7305,喜劇
3.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=03,7300,科幻
5.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=05,7300,劇情
8.0,https://tw.movies.yahoo.com/moviegenre_result.html?genre_id=08,7300,懸疑/驚悚
