Address,FaxNo,POIID,POIName,SpecialStore_Kind,Store_URL,Telno,X,Y,city_name,is7WiFi,isATM,isCityCafe,isCorn,isDining,isFruit,isHealthStations,isHotDog,isIbon,isIce,isIceCream,isLavatory,isMakeup,isMisterDonuts,isMuji,isOpenStore,isOrganic,isParking,isStarBucks,isSweetPotato,isTea,isUnionPay,town_name,logitude,latitude,company
台北市松山區南京東路4段131號,(02)25459018        ,928793              ,東勢,,,(02)27172789        ,121555025.0,25051768.0,台北市,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,松山區,121.555025,25.051768,7-11
台北市松山區民生東路5段65號,(02)27627320        ,896241              ,東榮,,,(02)27622216        ,121558171.0,25058645.0,台北市,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,松山區,121.558171,25.058645,7-11
台北市松山區民生東路4段55巷10號,(02)27197953        ,164803              ,東鑫,,,(02)27196327        ,121550472.0,25058359.0,台北市,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,松山區,121.550472,25.058359,7-11
台北市松山區三民路10號,(02)27480294        ,162634              ,松民,,,(02)27480323        ,121563880.0,25052392.0,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,松山區,121.56388,25.052392,7-11
台北市松山區塔悠路31號33號,(02)37655775        ,990352              ,松禾,,,(02)37651361        ,121571303.0,25050878.0,台北市,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,松山區,121.571303,25.050878,7-11
台北市松山區敦化北路340-9號,(02)25459503        ,135643              ,松航,,,(02)25454821        ,121551514.393488,25063718.99407,台北市,Y,N,Y,Y,N,N,N,Y,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,N,Y,松山區,121.551514393488,25.06371899407,7-11
台北市松山區慈祐里八德路4段767號769號,(02)27475107        ,883223              ,松饒,,,(02)27475146        ,121578011.0,25051083.0,台北市,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,松山區,121.578011,25.051083,7-11
台北市松山區八德路四段686號,(02)27455974        ,170152              ,松鑽,,,(02)27457876        ,121576641.0,25049883.0,台北市,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,Y,松山區,121.576641,25.049883,7-11
台北市松山區敦化北路199巷2弄9號1樓,(02)25148835        ,141785              ,長塑,,,(02)25148851        ,121550051.392149,25055525.9654823,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,松山區,121.550051392149,25.0555259654823,7-11
台北市松山區南京東路3段303巷5號,(02)25459025        ,961055              ,南京,,,(02)25466532        ,121546691.0,25052477.0,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,松山區,121.546691,25.052477,7-11
台北市松山區八德路四段151號,(02)27627401        ,975906              ,威京,,,(02)27564116        ,121562569.0,25048780.0,台北市,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,松山區,121.562569,25.04878,7-11
台北市松山區復興南路1段43號,(02)27773679        ,902908              ,風復,,,(02)27110868        ,121544062.0,25045677.0,台北市,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,松山區,121.544062,25.045677,7-11
台北市松山區南京東路4段51號之2,(02)25459027        ,164179              ,首都,,,(02)25453085        ,121551060.0,25051809.0,台北市,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,松山區,121.55106,25.051809,7-11
台北市松山區八德路2段366巷7號1樓,(02)27314931        ,153320              ,庫德,,,(02)87719076        ,121546062.388991,25047815.9386224,台北市,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,松山區,121.546062388991,25.0478159386224,7-11
台北市松山區健康路11號,(02)25148203        ,141992              ,健一,,,(02)25149369        ,121552453.0,25053224.0,台北市,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,松山區,121.552453,25.053224,7-11
台北市松山區健康路224號,(02)27603317        ,173531              ,婦聯,,,(02)27609484        ,121561080.400121,25053926.959716,台北市,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,松山區,121.561080400121,25.053926959715998,7-11
台北市松山區八德路2段439號,(02)27519454        ,916527              ,清愿,,,(02)27729274        ,121546946.0,25048327.0,台北市,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,松山區,121.546946,25.048327,7-11
台北市松山區東興路13之1號,(02)27483693        ,171421              ,統威,,,(02)27481762        ,121565443.0,25050065.0,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,松山區,121.565443,25.050065,7-11
台北市松山區南京東路五段315號,(02)27607179        ,140623              ,通盈,,,(02)27604390        ,121566819.404223,25051650.9516713,台北市,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,松山區,121.566819404223,25.0516509516713,7-11
台北市松山區敦化南路1段5號,(02)25794415        ,915270              ,復旦,,,(02)25777873        ,121549139.0,25047157.0,台北市,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,松山區,121.549139,25.047157,7-11
台北市松山區民生東路三段130巷2之1號1樓,(02)27127932        ,170657              ,復安,,,(02)27127923        ,121545906.389169,25056578.9692269,台北市,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,松山區,121.54590638916899,25.0565789692269,7-11
台北市松山區復興北路179號,(02)27151477        ,961963              ,復春,,,(02)27151190        ,121544337.0,25054422.0,台北市,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,松山區,121.544337,25.054422,7-11
台北市松山區民權東路三段160巷9號1樓,(02)87128160        ,142755              ,敦化,,,(02)87129627        ,121547919.390782,25061025.9847241,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,松山區,121.547919390782,25.0610259847241,7-11
台北市松山區敦化北路149號1樓,(02)25459021        ,114554              ,敦北,,,(02)25472052        ,121549585.391761,25054074.9604227,台北市,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,松山區,121.549585391761,25.0540749604227,7-11
台北市松山區三民路115號,(02)37652993        ,164445              ,朝福,,,(02)37652976        ,121563263.0,25058078.0,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,松山區,121.563263,25.058078,7-11
