期別,開獎日,兌獎截止,銷售金額,獎金總額,獎號_1,獎號_2,獎號_3,獎號_4,獎號_5,獎號_6,特別號,頭獎_中獎注數,貳獎_中獎注數,參獎_中獎注數,肆獎_中獎注數,伍獎_中獎注數,陸獎_中獎注數,柒獎_中獎注數,普獎_中獎注數,頭獎_單注獎金,貳獎_單注獎金,參獎_單注獎金,肆獎_單注獎金,伍獎_單注獎金,陸獎_單注獎金,柒獎_單注獎金,普獎_單注獎金,頭獎_累積至次期獎金,貳獎_累積至次期獎金,參獎_累積至次期獎金,肆獎_累積至次期獎金,伍獎_累積至次期獎金
105000007,105/01/22,105/04/22,89654950,126549652,46,20,10,17,15,43,37,0,1,25,58,1356,1822,20223,25794,0,1744885,69795,20056,2359,1000,400,400,98468868,0,0,0,0
105000006,105/01/19,105/04/19,91701500,109656257,14,09,46,04,23,44,41,0,1,40,77,1977,2111,21489,32788,0,3006081,39921,13825,1480,1000,400,400,77239430,0,0,0,0
105000005,105/01/15,105/04/15,89039900,89637376,27,11,42,06,16,17,35,0,0,46,127,2040,2555,24037,33287,0,0,30635,7397,1266,1000,400,400,57811192,1409240,0,0,0
105000004,105/01/12,105/04/12,91661100,70018679,18,15,05,44,40,39,37,0,1,30,67,1562,1995,20820,28102,0,1730988,57699,17223,2031,1000,400,400,40665431,0,0,0,0
105000003,105/01/08,105/04/08,91812850,51924170,13,28,44,03,48,10,01,0,1,28,66,1676,2230,23314,30213,0,3038479,57549,16276,1762,1000,400,400,19605074,0,0,0,0
105000002,105/01/05,105/04/05,89421200,131818567,07,33,15,25,03,01,21,1,0,36,100,2021,2385,23183,34346,100000000,0,39641,9514,1294,1000,400,400,0,1427103,0,0,0
105000001,105/01/01,105/04/01,88202800,86412039,16,41,29,19,24,43,32,0,1,44,61,1390,1861,18602,26302,0,5990409,39121,18812,2270,1000,400,400,54574352,0,0,0,0
104000109,104/12/29,105/03/29,85596250,66355026,08,30,32,42,13,01,11,0,0,27,92,1519,2484,24730,27820,0,0,52386,10249,1707,1000,400,400,33631426,4269073,0,0,0
104000108,104/12/25,105/03/25,87512200,49636557,12,07,03,16,30,11,13,0,0,49,89,2476,2462,22087,35846,0,0,27546,10110,999,1000,400,400,16422452,2854637,0,0,0
104000107,104/12/22,105/03/22,87254900,129681215,29,49,37,12,13,08,43,1,0,30,92,1735,2131,19489,32457,100000000,0,50161,10904,1590,1000,400,400,0,1504847,0,0,0
